distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,score_aparencia,score_papel,tracker_id
0.0011409323841986168,False,3,time0,0.7566937188352636,8,time0,TIME0,0.9159859869028647,0.9631745985066349,1.0,18
0.0015309267218173645,False,3,time0,0.7263776821725262,6,time0,TIME0,0.9143927415477235,0.9956257688009216,1.0,20
0.0025524727088073705,False,3,time0,0.7383565893178339,2,time0,TIME0,0.9085964639164242,0.964613033814013,1.0,17
0.002100466797823776,False,3,time0,0.7225086496201342,1,time0,TIME0,0.9075679507369879,0.9766401015783903,1.0,10
0.0028514275725068945,False,3,time1,0.6801945759981652,11,time1,TIME1,0.8975725314977506,0.9921521821029333,1.0,19
0.0043453804324156305,False,3,time1,0.6536889145249146,12,time1,TIME1,0.8754840442123056,0.9451597515140262,1.0,1
0.002723484585570054,False,3,time0,0.617705039526704,5,time0,TIME0,0.8708905723928104,0.9596491293486591,1.0,15
0.00023970878641212676,False,4,time1,0.9626798077721175,14,time1,TIME1,0.9851831698356791,0.9868161161640849,1.0,8
0.00016426786679725746,False,4,time1,0.9584533064894915,17,time1,TIME1,0.9847156950651573,0.9896972249724116,1.0,4
0.0003046950896906501,False,4,time1,0.955232201915985,19,time1,TIME1,0.9834848579652846,0.9890140395973526,1.0,7
0.0004385524431811352,False,4,time1,0.9452048513496488,18,time1,TIME1,0.982365365006295,0.9969733262078195,1.0,14
0.00020616546111639603,False,4,time0,0.9486175412230583,4,time0,TIME0,0.9802953271841727,0.9846160559826733,1.0,16
0.0006208695490729209,False,4,time1,0.9355822664241131,10,time1,TIME1,0.9756614929797831,0.9841443450220484,1.0,11
0.0006533481709604623,False,4,time0,0.869066964805409,9,time0,TIME0,0.9562706737628928,0.9860108924339516,1.0,6
0.0009230208499218702,False,4,time1,0.8616241542452285,16,time1,TIME1,0.9546290981336825,0.9898866664056958,1.0,12
0.0010720920980978397,False,4,time0,0.8135564234235644,7,time0,TIME0,0.9382128338615543,0.982302661881732,1.0,13
0.0012039947535370456,False,4,time1,0.7993680741308116,15,time1,TIME1,0.9370505843806175,0.994706193178758,1.0,5
0.0011082487223510436,False,4,time0,0.7929172045432767,6,time0,TIME0,0.9351588685475686,0.9956257688009216,1.0,20
0.0016574469294907686,False,4,time0,0.7792750937106765,3,time0,TIME0,0.9276000332392668,0.9853120769499466,1.0,3
0.0015138744753234274,False,4,time1,0.7719201755918113,13,time1,TIME1,0.9275390780922638,0.990382729540275,1.0,2
0.0015102531308722946,False,4,time0,0.7656168400958588,0,time0,TIME0,0.9227019223965424,0.9789674398250632,1.0,9
0.0018446234662009536,False,4,time0,0.7760537892274655,2,time0,TIME0,0.9217342613276358,0.964613033814013,1.0,17
0.0014101576983277248,False,4,time0,0.7417295207315691,8,time0,TIME0,0.9117910795120564,0.9631745985066349,1.0,18
0.0022018458270566432,False,4,time0,0.7239255636653733,1,time0,TIME0,0.908873979478283,0.9766401015783903,1.0,10
0.0032091553630872343,False,4,time1,0.7128049292858493,12,time1,TIME1,0.8964389320938736,0.9451597515140262,1.0,1
0.0031791501540931167,False,4,time1,0.6565904999647806,11,time1,TIME1,0.891764635458742,0.9921521821029333,1.0,19
0.002769680862403068,False,4,time0,0.5708149840961142,5,time0,TIME0,0.8585424906278396,0.9596491293486591,1.0,15
0.00021824888426641144,False,5,time1,0.9479375286173081,18,time1,TIME1,0.9832151437998576,0.9969733262078195,1.0,14
0.0003791596884559793,False,5,time1,0.9414979221711539,19,time1,TIME1,0.9791591170002008,0.9890140395973526,1.0,7
0.0002583781915668179,False,5,time0,0.9386812771683333,4,time0,TIME0,0.9774423855247908,0.9846160559826733,1.0,16
0.0006604718620078559,False,5,time0,0.9175795204365632,9,time0,TIME0,0.9707935046504044,0.9860108924339516,1.0,6
0.0005121545915999323,False,5,time1,0.9112959696268025,14,time1,TIME1,0.9694016258036208,0.9868161161640849,1.0,8
0.0008190983294772253,False,5,time1,0.898426197592383,10,time1,TIME1,0.9646485620860602,0.9841443450220484,1.0,11
0.0005102369890600287,False,5,time1,0.891173415499232,17,time1,TIME1,0.9640705884015418,0.9896972249724116,1.0,4
0.0006181985640248185,False,5,time0,0.8931759107061503,7,time0,TIME0,0.9625294717253021,0.982302661881732,1.0,13
0.0011829134637112997,False,5,time1,0.8136640362180083,16,time1,TIME1,0.9400290474146668,0.9898866664056958,1.0,12
0.0014823062222001032,False,5,time1,0.7965273523825349,13,time1,TIME1,0.9350750352142928,0.990382729540275,1.0,2
0.0011797933280513562,False,5,time1,0.7889789466948742,15,time1,TIME1,0.9342455441435579,0.994706193178758,1.0,5
0.0011680282877476983,False,5,time0,0.799671159406705,8,time0,TIME0,0.9294377503802561,0.9631745985066349,1.0,18
0.0013484176716821812,False,5,time0,0.7811094537837401,0,time0,TIME0,0.9277198614748942,0.9789674398250632,1.0,9
0.002044388991072133,False,5,time0,0.748629177134571,1,time0,TIME0,0.9167025676761125,0.9766401015783903,1.0,10
0.002052236031062717,False,5,time0,0.714491354330827,3,time0,TIME0,0.9084864390023838,0.9853120769499466,1.0,3
0.0027833774667957683,False,5,time0,0.7138234852001599,2,time0,TIME0,0.9020423851310593,0.964613033814013,1.0,17
0.0017794306077555148,False,5,time0,0.6794275655984101,6,time0,TIME0,0.9004818557225398,0.9956257688009216,1.0,20
0.0026467315644373947,False,5,time1,0.6474333130274401,11,time1,TIME1,0.889222843422122,0.9921521821029333,1.0,19
0.00334822949270519,False,5,time1,0.6472154669082871,12,time1,TIME1,0.8773051146593286,0.9451597515140262,1.0,1
0.0022008366992723525,False,5,time0,0.6013637489556001,5,time0,TIME0,0.867867811142446,0.9596491293486591,1.0,15
0.00021427210204344428,False,6,time1,0.9445094996730479,19,time1,TIME1,0.9807337569960534,0.9910885575608714,1.0,7
0.00030364042452806265,False,6,time0,0.9458821439593235,4,time0,TIME0,0.9802177045593318,0.9877676490925189,1.0,16
0.0005362681892009207,False,6,time1,0.9438329405907795,10,time1,TIME1,0.9801170061725747,0.990669455008564,1.0,11
9.08684922924839e-05,False,6,time1,0.9256075621864797,18,time1,TIME1,0.9766876150710417,0.9971007902649761,1.0,14
0.0004576705119168834,False,6,time1,0.9234102568741948,16,time1,TIME1,0.9740559907435317,0.9918265796394761,1.0,12
0.0008635432436112483,False,6,time0,0.908288712031456,9,time0,TIME0,0.969001835599104,0.9898150053277577,1.0,6
0.0005035639638313595,False,6,time1,0.9020691399365909,14,time1,TIME1,0.967075413640027,0.9887783967172795,1.0,8
0.0005195464201511418,False,6,time1,0.8948238471944813,17,time1,TIME1,0.9643937834003973,0.9865394303593833,1.0,4
0.0007332916766440762,False,6,time0,0.8715668244152923,7,time0,TIME0,0.9555827656105403,0.9795050711817693,1.0,13
0.0013655619128797485,False,6,time1,0.8076071143694386,13,time1,TIME1,0.9368350173033092,0.9848631107734123,1.0,2
0.001239485552594094,False,6,time0,0.8021072785966843,0,time0,TIME0,0.9347794035751738,0.981421147103855,1.0,9
0.0013987042494967151,False,6,time0,0.796671684524331,3,time0,TIME0,0.9341061146185287,0.9873071445449777,1.0,3
0.001260905924074514,False,6,time1,0.759383867932131,15,time1,TIME1,0.9254129940813361,0.9959326797357038,1.0,5
0.0032737804518676804,False,6,time0,0.7019696584316657,2,time0,TIME0,0.901509842999499,0.9771206342554746,1.0,17
0.002004663946379649,False,6,time0,0.7128381319270345,8,time0,TIME0,0.899651036012921,0.9527928106663837,1.0,18
0.0029570699609931697,False,6,time0,0.6585951471522565,1,time0,TIME0,0.8887989776413253,0.9781333981691771,1.0,10
0.0019464447193856239,False,6,time0,0.6279386551017815,6,time0,TIME0,0.8838405176950229,0.9939375698167223,1.0,20
0.0033080016157855706,False,6,time1,0.6176261198114329,12,time1,TIME1,0.8716858123442116,0.958193554043258,1.0,1
0.004012762217389405,False,6,time1,0.5552806081666505,11,time1,TIME1,0.8585355704148698,0.9920828504443602,1.0,19
0.0027609041347605046,False,6,time0,0.5554398163617038,5,time0,TIME0,0.8569090744358249,0.9728121070823739,1.0,15
0.0001909767838026126,False,7,time1,0.9621915330453831,10,time1,TIME1,0.9858381531739232,0.990669455008564,1.0,11
