distancia_normalizada,frame,iou_associacao,logical_id,score_associacao,tempo_segundos,time_predito,time_referencia,tracker_id,x1,x2,y1,y2
2.1751829990535043e-05,2,0.9955741760615004,1,0.9971156012994786,0.08,1,1,1,487.7555236816406,514.546875,498.9771423339844,564.6575317382812
1.3745286196353845e-05,2,0.9989294764033132,9,0.9992993488119848,0.08,2,2,2,1039.4912109375,1089.2962646484375,571.3870849609375,631.5459594726562
0.0675269216299057,2,0.0,4,0.326365577429533,0.08,1,1,3,741.3386840820312,772.6170654296875,502.2865905761719,561.6102905273438
0.13087783753871918,2,0.0,3,0.30419275686144825,0.08,1,1,4,609.0646362304688,658.4782104492188,560.7498168945312,657.157470703125
2.5121535145444795e-06,2,0.9994207010708988,15,0.9996225764423541,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
5.621444506687112e-05,2,0.9922963923372454,10,0.9949729799634361,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
1.1645756785583217e-05,2,0.9985011697780158,16,0.9990216843408354,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
7.230583833006676e-06,2,0.9985963913864091,5,0.9990851236968243,0.08,1,1,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
5.556890755542554e-06,2,0.9986382781563179,7,0.9991129358898422,0.08,1,1,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
2.15607196878409e-05,2,0.9962967859181255,14,0.9975853645948909,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
0.039929330348968506,2,0.0,2,0.336024734377861,0.08,1,1,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
5.745195448980667e-05,2,0.9931962503753933,11,0.9955574545599342,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
2.4001759811653756e-05,2,0.9943452164703237,12,0.9963159900897763,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
0.06299971044063568,2,0.0,13,0.3279501013457775,0.08,2,2,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
1.1628680113062728e-05,2,0.996718962345964,0,0.997863255486837,0.08,1,1,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
0.15327052772045135,2,0.0,6,0.296355315297842,0.08,1,1,-1,1189.6134033203125,1218.4820556640625,466.5765686035156,536.818603515625
0.0007299467106349766,3,0.9498473122717065,8,0.967145271627887,0.12,2,2,0,375.0597229003906,463.55914306640625,1009.28857421875,1078.290771484375
0.00030197540763765574,3,0.925382798151284,1,0.9513931274056615,0.12,1,1,1,487.5567626953125,516.075439453125,499.5196228027344,564.1554565429688
0.004730650689452887,3,0.6365969133745241,9,0.7621322659521321,0.12,2,2,2,1027.9276123046875,1080.239990234375,572.2463989257812,633.7223510742188
0.0015937796561047435,3,0.7731834565646374,4,0.8520114238873776,0.12,1,1,3,745.714111328125,774.5405883789062,503.53466796875,563.4656982421875
0.002895181067287922,3,0.7560147831479757,3,0.8403962956726334,0.12,1,1,4,614.3335571289062,665.3168334960938,563.50146484375,658.4199829101562
0.0010526288533583283,3,0.8549600471736293,15,0.9053556105641836,0.12,2,2,-1,1187.1944580078125,1217.54345703125,464.4906921386719,535.705322265625
0.0005092068458907306,3,0.9197776487694258,14,0.947677249304065,0.12,2,2,-1,1187.1944580078125,1217.54345703125,464.4906921386719,535.705322265625
0.02548043243587017,3,0.05496666136071642,16,0.37681017853191107,0.12,2,2,-1,1187.1944580078125,1217.54345703125,464.4906921386719,535.705322265625
0.00044956928468309343,3,0.9223307716800357,7,0.9493576523423841,0.12,1,1,-1,1187.1944580078125,1217.54345703125,464.4906921386719,535.705322265625
0.0010548202553763986,3,0.8370965512252568,12,0.8937435712070352,0.12,2,2,-1,1187.1944580078125,1217.54345703125,464.4906921386719,535.705322265625
